,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
MRSA,MrsaCoin,X13,TRUE,PoW/PoS,,2100000000
ODN,Obsidian,SHA-512,TRUE,PoS,25000000,91388946
CWIS,Crypto Wisdom Coin,Scrypt,FALSE,PoW,17630550.21,24000000
MWC,MultiWallet Coin,X11,TRUE,PoW/PoS,,0
WOBTC,WorldBTC,Scrypt,FALSE,PoW/PoS,,210000000
OK,OKCash,SHA-256,TRUE,PoW/PoS,74676064.95,105000000
MRY,MurrayCoin,Scrypt,TRUE,PoW,,58000000
OMC,OmniCron,Scrypt,TRUE,PoW,10140044.44,3371337
OMNI,Omni,Scrypt,TRUE,PoW,616448,616448
ONION,DeepOnion,X13,TRUE,PoW/PoS,21917018.05,18898187.62
ONT,Ontology,VBFT,TRUE,PoS,650848625,1000000000
NKT,NakomotoDark,X11,TRUE,PoW/PoS,,0
ONX,Onix,X11,TRUE,PoW,122475638.4,1100000000
ZEST,ZestCoin,Quark,TRUE,PoW,0,29300000
ORB,Orbitcoin,NeoScrypt,TRUE,PoW/PoS,3220616.279,3770000
OS76,OsmiumCoin,Scrypt,TRUE,PoW,894026,2714286
NAN,NanoToken,Scrypt,TRUE,PoW,,80000000
OWC,Oduwa,Scrypt,TRUE,PoW/PoS,14777549.39,21000000
PAC,PacCoin,X11,TRUE,PoW,536982074,1.00E+11
NAV,NavCoin,X13,TRUE,PoW/PoS,66087096.21,0
PAK,Pakcoin,Scrypt,TRUE,PoW,69684455.44,182000000
NEF,NefariousCoin,Scrypt,TRUE,PoW/PoS,,4835000000
PART,Particl,PoS,TRUE,PoS,9283137.556,8634140
NBIT,NetBit,Scrypt,TRUE,PoW/PoS,,10.500.000
NTM,NetM,Scrypt,TRUE,PoW,,1.01E+11
NETC,NetworkCoin,X13,TRUE,PoW/PoS,,400000
PAXEX,PAXEX,X11,TRUE,PoS,4504639,100000000
NIC,NewInvestCoin,PoS,TRUE,PoS,,47090909
PAR,Parlay,Scrypt,FALSE,PoS,3783270,30000000
LTCC,Listerclassic Coin,Scrypt,FALSE,PoW/PoS,8094818.389,110000000
PCOIN,Pioneer Coin,X11,TRUE,PoW,8478104.34,23000000
MRN,Mercoin,Scrypt,FALSE,PoW/PoS,25330252.32,100000000
NYC,NewYorkCoin,Scrypt,TRUE,PoW,1.43E+11,0
NZC,NewZealandCoin,Scrypt,TRUE,PoW,,335800000
PHO,Photon,BLAKE256,TRUE,PoW,30089671531,90000000000
NMB,Nimbus Coin,X15,TRUE,PoW/PoS,,25000000
NTC,NineElevenTruthCoin,Scrypt,TRUE,PoW/PoS,,130528084
YCE,MYCE,Scrypt,FALSE,PoW/PoS,63613903.88,250000000
GMCN,GambleCoin,Scrypt,FALSE,PoS,8240763.495,15600000
PHR,Phreak,PoS,TRUE,PoS,11390225.97,30000000
PIGGY,Piggy Coin,X11,TRUE,PoW/PoS,494240666,1000000000
NODE,Node,Curve25519,TRUE,PoA,,1000000000
DEI,Deimos,Scrypt,FALSE,PoW,269143950.6,1000000000
NRS,NoirShares,Scrypt,TRUE,PoW/PoS,,5000000
NOO,Noocoin,PoS,TRUE,PoS,,25000000
NUKE,NukeCoin,PoS,TRUE,PoS,,2778196
N7,Number7,Scrypt,TRUE,PoW,,270967742
NXE,NXEcoin,NIST5,TRUE,PoW/PoS,,2200000
PINK,PinkCoin,X11,TRUE,PoW/PoS,436353624.5,500000000
PIRATE,PirateCash,Equihash,TRUE,PoS,13475920,105000000
NBL,Nybble,Scrypt,TRUE,PoW,,210000000
OBS,Obscurebay,X11,TRUE,PoW/PoS,,6562000
PIRL,Pirl,Dagger,TRUE,PoW,33986980,156306732.7
PIZZA,PizzaCoin,X11,TRUE,PoW,1377917,25000000
PLNC,PLNCoin,Scrypt,TRUE,PoW/PoS,17089600,38540000
ODNT,Old Dogs New Tricks,SHA-256D,TRUE,PoW/PoS,,21000000
OLYMP,OlympCoin,X11,TRUE,PoW/PoS,,50000000
PLTC,PlatinCoin,CryptoNight,TRUE,PoW,84300,600000518
PLURA,PluraCoin,CryptoNight,TRUE,PoW,560085952.4,1000000000
PLUS1,PlusOneCoin,HMQ1725,TRUE,PoW,8645406.168,21000000
PND,PandaCoin,Scrypt,TRUE,PoS,33813143822,32514916898
PNX,PhantomX,X11,TRUE,PoW/PoS,45174214.11,50000000
OPAL,OpalCoin,X13,TRUE,PoW/PoS,15156364.33,0
PNY,Peony Coin,Scrypt,TRUE,PoS,1042012.452,16880000000
OPES,Opes,Argon2,TRUE,PoW,,52000000
OPTION,OptionCoin,X11,TRUE,PoS,,21000000
POA,Poa Network,Proof-of-Authority,TRUE,PoA,204479039,252460800
POP,PopularCoin,Scrypt,TRUE,PoW,3964201249,4999999999
ORO,OroCoin,Scrypt,TRUE,PoW,,23529412
POSQ,Poseidon Quark,Quark,TRUE,PoS,2716264.953,650000000
OXY,Oxycoin,DPoS,TRUE,DPoS,1122382283,0
PCS,Pabyosi Coin,X11,TRUE,PoW/PoS,,31500000000
PBC,PabyosiCoin,X11,TRUE,PoW/PoS,,31500000000
POT,PotCoin,Scrypt,TRUE,PoW/PoS,222677226,420000000
PPAI,Project Pai,SHA-256,TRUE,PoW,2100000000,2100000000
PRC,ProsperCoin,Scrypt,TRUE,PoW,5768310,21000000
PINKX,PantherCoin,Scrypt,TRUE,PoW/PoS,,735000000
PARA,ParanoiaCoin,Scrypt,TRUE,PoW,,72000000
VNTY,VENOTY,Scrypt,FALSE,PoW,,94000000
PROC,ProCurrency,SHA-256,TRUE,PoS,100545745,75000000000
SHARD,ShardCoin,Scrypt,FALSE,PoS,24924986.09,900000000
PROTON,Proton,X16R,TRUE,PoS,4403800,45000000
PRX,Printerium,Scrypt,TRUE,PoW/PoS,11821728,20000000
PYC,PayCoin,Scrypt,TRUE,PoW/PoS,,30000000
PSD,Poseidon,Scrypt,TRUE,PoW,4070212.149,21000000
DVTC,DivotyCoin,Scrypt,FALSE,PoW/PoS,21491213.46,100000000
GIOT,Giotto Coin,Scrypt,FALSE,PoW/PoS,,233100000
PAYP,PayPeer,X11,TRUE,PoW/PoS,,50000000000
PEC,PeaceCoin,X11,TRUE,PoW,,700000000
XPB,Pebble Coin,CryptoNight,TRUE,PoW,,0
PTA,PentaCoin,SHA-256,TRUE,PoW/PoS,,1311955
PTC,PesetaCoin,Scrypt,TRUE,PoW,137517654.4,166386000
MAN,People,Scrypt,TRUE,PoW,,7500000000
PURA,Pura,X11,TRUE,PoW,175215859,350000000
PSB,PesoBit,Scrypt,TRUE,PoW/PoS,33522957,0
PUSHI,Pushi,X11,TRUE,PoW/PoS,2167827.1,25000000
PHS,PhilosophersStone,Scrypt,TRUE,PoW,,8891840
PUT,PutinCoin,Scrypt,TRUE,PoW/PoS,813092338.6,2000000000
PXC,PhoenixCoin,Scrypt,TRUE,PoW/PoS,73959274.63,98000000
QRK,QuarkCoin,Quark,TRUE,PoW,259557164.9,247000000
QRL,Quantum Resistant Ledger,CryptoNight-V7,TRUE,PoW,69036016.83,105000000
QTL,Quatloo,Scrypt,TRUE,PoW,7357794.793,100000000
QTUM,QTUM,POS 3.0,TRUE,PoS,100000000,100000000
PIO,Pioneershares,X11,TRUE,PoW/PoS,,200000
ALQO,Alqo,Quark,FALSE,PoW/PoS,65269530.1,57879300
SKULL,Pirate Blocks,X11,TRUE,PoW/PoS,,240000000
QWC,Qwertycoin,CryptoNight Heavy,TRUE,PoW,99553110529,1.84E+11
RADS,Radium,PoS,TRUE,PoS,3821245.742,9000000
CMOS,Cosmo,Quark,FALSE,PoW,8928876.686,11892000
RAIN,Condensate,X11,TRUE,PoW/PoS,121665451.6,500000000
PLAN,Plancoin,Scrypt,TRUE,PoW/PoS,,35000000
PLANET,PlanetCoin,Scrypt,TRUE,PoW/PoS,,1000000
RC,Russiacoin,Scrypt,TRUE,PoW/PoS,8377873,144000000
PNC,PlatiniumCoin,SHA-256,TRUE,PoW,,21000000
RCC,Reality Clash,Ethash,TRUE,PoW,24487944.1,24487944
REC,Regalcoin,X11,TRUE,PoW/PoS,7262402.043,27000000
REV,Revenu,SHA-256,TRUE,PoW/PoS,1195525,222725000
RIC,Riecoin,Groestl,TRUE,PoW,49548585.14,84000000
DACH,DACH Coin,Quark,FALSE,PoS,14303114.67,38000000
XPS,PoisonIvyCoin,Scrypt,TRUE,PoW/PoS,,4666666667
XPOKE,PokeChain,X13,TRUE,PoS,,75000000
POLIS,PolisPay,X11,TRUE,PoW,,25000000
RNS,RenosCoin,Scrypt,TRUE,PoS,36050365,34426423
ROYAL,RoyalCoin,X13,TRUE,PoS,2500124,2500124
SWI,Swinca,Quark,FALSE,PoW/PoS,,400000000
RPC,RonPaulCoin,Scrypt,TRUE,PoW,1104157.422,21000000
RUP,Rupee,Lyra2REv2,TRUE,PoS,24000000,24000000
PRE,Premium,Scrypt,TRUE,PoW,,20000000
RVR,Revolution VR,Scrypt,TRUE,PoW,210000000,210000000
PZM,Prizm,SHA-256,TRUE,PoS,,6.00E+14
XPRO,ProCoin,X15,TRUE,PoW/PoS,,6000000
PCM,Procom,Scrypt,TRUE,PoW,,28000000
RYO,Ryo,Cryptonight-GPU,TRUE,PoW,4890897,88188888
SAFEX,SafeExchangeCoin,Scrypt,TRUE,PoC,2147483647,2147483647
SBC,StableCoin,Scrypt,TRUE,PoW,24215181.73,250000000
SCN,Swiscoin,Scrypt,TRUE,PoW/PoW,665200057,3100000000
PSEUD,PseudoCash,X13,TRUE,PoW/PoS,,2200000
PSI,PSIcoin,X11,TRUE,PoS,,696969
PSY,Psilocybin,SHA-256D,TRUE,PoW/PoS,,4214600
PUPA,PupaCoin,Blake2S,TRUE,PoW/PoS,,3500000000
SEM,Semux,Semux BFT consensus,TRUE,DPoS,1231147,100000000
VIDZ,PureVidz,PoS,TRUE,PoS,,125000000
SH,Shilling,Scrypt,TRUE,PoW,11119200,30000000
SIB,SibCoin,X11GOST,TRUE,PoW,17263355,24000000
EBZ,Ebitz,PoS,FALSE,PoS,,21000000
PWR,PWR Coin,NIST5,TRUE,PoW/PoS,10069449032,0
SIC,Swisscoin,Scrypt,TRUE,PoW/PoS,10200000000,10200000000
SIGT,Signatum,SkunkHash v2 Raptor,TRUE,PoS,107972766,137500000
SJCX,StorjCoin,Counterparty,TRUE,PoS,51173144,500000000
QTZ,Quartz,SHA-256,TRUE,PoW/PoS,,0
SLC,SLICE,QuBit,TRUE,PoW,12925790.42,100000000
QBK,QuBuck Coin,X13,TRUE,PoS/PoB,,0
XQN,Quotient,Scrypt,TRUE,PoW/PoS,,0
SLR,SolarCoin,Scrypt,TRUE,PoW,55565076.39,98100000000
SMART,SmartCash,Keccak,TRUE,PoW,2241009149,5000000000
SMC,SmartCoin,Scrypt,TRUE,PoW,25593737.14,51200000
RATIO,Ratio,PoS,TRUE,PoS,,100000000
RZR,RazorCoin,Scrypt,TRUE,PoW,,4000000
SMLY,SmileyCoin,Scrypt,TRUE,PoW,29583989323,50000000000
RCX,RedCrowCoin,Scrypt,TRUE,PoW/PoS,,3966666667
RDD,Reddcoin,Scrypt,TRUE,PoW/PoS,29315567169,0
SOCC,SocialCoin,Scrypt,TRUE,PoW,5167775,75000000
SOIL,SoilCoin,Dagger,TRUE,PoW,5702048,30000000
RMS,Resumeo Shares,NIST5,TRUE,PoS,,9188302
RNC,ReturnCoin,X11,TRUE,PoS,,250000000
SOJ,Sojourn Coin,Scrypt,TRUE,PoW,485214,10500000000
SONG,Song Coin,Scrypt,TRUE,PoW,32565300,210240000
RGC,RG Coin,NIST5,TRUE,PoW/PoS,,300000000
RBR,Ribbit Rewards,Multiple,TRUE,PoW,,1000000000
RICE,RiceCoin,X13,TRUE,PoW/PoS,,10000000
SOON,SoonCoin,SHA-256,TRUE,PoW,12462620,21000000
RING,RingCoin,Scrypt,TRUE,PoW/PoS,,1900000000
SPD,Stipend,C11,TRUE,PoW/PoS,11251342.19,19340594
ROOT,RootCoin,Scrypt,TRUE,PoW/PoS,1939889,0
ROS,ROS Coin,X11,TRUE,PoW/PoS,,0
RT2,RotoCoin,Scrypt-n,TRUE,PoW/PoS,,288000
PUNK,SteamPunk,PoS,FALSE,PoS,,40000000
GEX,Gexan,PHI2,FALSE,PoW/PoS,2233828.13,21000000
ROE,Rover Coin,X11,TRUE,PoW/PoS,,60000000
SPK,SparksPay,NeoScrypt,TRUE,PoW,7847417.334,21000000
SERA,Seraph,PHI1612,FALSE,PoW/PoS,1360250,32000000
RYC,RoyalCoin,Scrypt,TRUE,PoW,,140000000
RYCN,RoyalCoin 2.0,X13,TRUE,PoS,,2500124
AGM,Argoneum,PHI1612,FALSE,PoW,13969583.38,64000000
RUBIT,Rublebit,Scrypt,TRUE,PoW,,100000000
RBY,RubyCoin,Scrypt,TRUE,PoS,27184490.39,0
SPR,Spreadcoin,X11,TRUE,PoW,11149734,20000000
SSS,ShareChain,Scrypt,TRUE,PoW,10000000000,10000000000
RUST,RustCoin,Scrypt,TRUE,PoW/PoS,,21212121
STCN,Stakecoin,PoS,TRUE,PoS,4000000,61599965
S8C,S88 Coin,Scrypt,TRUE,PoW/PoS,,520000000
SABR,SABR Coin,Scrypt,TRUE,PoW/PoS,,133100000
STV,Sativa Coin,X13,TRUE,PoW/PoS,7096834,10000000
SFR,SaffronCoin,Multiple,TRUE,PoW,,111000000
SMSR,Samsara Coin,QuBit,TRUE,PoW/PoS,,60000000
XAI,SapienceCoin,X11,TRUE,PoB/PoS,,0
SUCR,Sucre,X11,TRUE,PoW,4229040.504,19800000
SAT2,Saturn2Coin,Scrypt,TRUE,PoW,,15000000000
STO,Save The Ocean,X11,TRUE,PoW/PoS,,150000000
SCOOBY,Scooby coin,Scrypt,TRUE,PoW/PoS,,21000000
SCRM,Scorum,DPoS,TRUE,DPoS,,20000000
SCRPT,ScryptCoin,Scrypt,TRUE,PoW,,34181818
SCT,ScryptToken,Scrypt,TRUE,PoW/PoS,,8842105
SEEDS,SeedShares,SHA-256D,TRUE,PoW/PoS,,7996400
B2X,SegWit2x,X11,TRUE,PoW/PoS,,21000000
SEL,SelenCoin,PoS,TRUE,PoS,,159680000
SUMO,Sumokoin,CryptoNight,TRUE,PoW,8946653,88888888
SWING,SwingCoin,SHA-256,TRUE,PoW/PoS,4377081.61,40000000
SHA,Shacoin,SHA-256,TRUE,PoS,,350000000
SHADE,ShadeCoin,Scrypt,TRUE,PoW/PoS,,2000000
SXC,SexCoin,Scrypt,TRUE,PoW,128940951.2,250000000
SAK,SharkCoin,SHA-256,TRUE,PoW,,400000000
SYNC,SyncCoin,X11,TRUE,PoW/PoS,1177,1000
GOA,GoaCoin,NeoScrypt,FALSE,PoW,3982139.246,32000000
SYS,SysCoin,SHA-256,TRUE,PoW,563336541.3,888000000
SHORTY,ShortyCoin,PoS,TRUE,PoS,,100000000
SHREK,ShrekCoin,Scrypt,TRUE,PoW/PoS,,1246000000
SC,Siacoin,Blake2b,TRUE,PoW,33098296530,0
RAP,Rapture,NeoScrypt,FALSE,PoW,4478901.292,21000000
TAJ,TajCoin,Blake2S,TRUE,PoW/PoS,12184195.93,36900000
TAU,Lamden Tau,DPoS,TRUE,DPoS,288090567.5,500000000
SPLB,SimpleBank,NeoScrypt,FALSE,PoW/PoS,2381470.978,21000000
611,SixEleven,SHA-256,TRUE,PoW,,611000
SKB,SkullBuzz,SHA-256,TRUE,PoS,,0
SLX,Slate,Slatechain,TRUE,PoW,,950000000
TCH,TigerCash,SHA-256,TRUE,PoS,1000000000,1000000000
TEAM,TeamUP,PoS,TRUE,PoS,17818682.17,301000000
TER,TerraNovaCoin,Scrypt,TRUE,PoW/PoS,1140734.917,15733333
TES,TeslaCoin,Multiple,TRUE,PoS,80260463.73,100000000
SMF,SmurfCoin,Scrypt,TRUE,PoW/PoS,,2500000000
SMAC,Social Media Coin,X11,TRUE,PoW/PoS,,0
SEND,Social Send,Quark,TRUE,PoW/PoS,,150000000
TGC,TigerCoin,SHA-256,TRUE,PoW,43536800,47011968
TIT,TittieCoin,PHI1612,TRUE,PoS,1622326490,2300000000
TOKC,Tokyo Coin,X13,TRUE,PoS,230298925,800000000
TOR,TorCoin,X11,TRUE,PoW/PoS,1431851,10000000
SOLE,SoleCoin,X15,TRUE,PoW/PoS,,1200000
TPAY,TokenPay,POS 3.0,TRUE,PoS,20445861.53,25000000
SSD,Sonic Screw Driver Coin,SHA-256,TRUE,PoW/PoS,,0
TPC,TPCash,Scrypt,TRUE,PoW/PoS,5403802.496,1000000000
SOUL,SoulCoin,Scrypt,TRUE,PoW/PoS,,1400000000
TRC,TerraCoin,SHA-256,TRUE,PoW,22935396,42000000
SPEC,SpecCoin,Scrypt,TRUE,PoW,,3000000000
SPCIE,Specie,PoS,TRUE,PoS,,9000000
SPC,SpinCoin,NIST5,TRUE,PoW/PoS,,0
SPORT,SportsCoin,X11,TRUE,PoS,,20000000
NGIN,Ngin,M00N,FALSE,PoW,,360000000
SPOTS,Spots,Scrypt,TRUE,PoW,,100000000
TRF,Travelflex,Dagger,TRUE,PoW,107325266,100000000
SPRTS,Sprouts,SHA-256,TRUE,PoW/PoS,,0
SQL,Squall Coin,X11,TRUE,PoS/PoW,329200.0164,0
SSV,SSVCoin,X13,TRUE,PoW,,21000000
TCR,TecraCoin,Lyra2Z,FALSE,PoW,40874452.48,210000000
LAX,LAPO,Lyra2Z,FALSE,PoW/PoS,11086825523,1.00E+11
XSI,Stability Shares,Scrypt,TRUE,PoW/PoS,,15000000
TRI,Triangles Coin,X13,TRUE,PoW/PoS,140777.7534,120000
TROLL,Trollcoin,Scrypt,TRUE,PoW/PoS,591022748,900000000
TRTL,TurtleCoin,CryptoNight,TRUE,PoW,53139835214,1.00E+12
STALIN,StalinCoin,X11,TRUE,PoW/PoS,,3000000000
KST,StarKST,Scrypt,TRUE,PoW,,6000000000
STAX,Staxcoin,Scrypt,TRUE,PoW/PoS,,43500000
HANA,Hanacoin,Lyra2REv2,FALSE,PoW,,122500000
SCRIBE,Scribe Network,Lyra2REv2,FALSE,PoW,6040583.73,32700000
XST,StealthCoin,X13,TRUE,PoW/PoS,33093725.41,0
STN,Steneum Coin,Scrypt,TRUE,PoW,,20000000
SLG,SterlingCoin,X13,TRUE,PoS,,0
TRVC,Trivechain,X16R,TRUE,PoW/PoS,36923120.62,82546564
TSC,ThunderStake,Scrypt,TRUE,PoW/PoS,1059954080,18000000000
STAK,Straks,Lyra2REv2,TRUE,PoW,,150000000
SBSC,Subscriptio,PoS,TRUE,PoS,,10000000
TTN,Titan Coin,SHA-256D,TRUE,PoW/PoS,896361168,5000000000
TUBE,BitTube,CryptoNight,TRUE,PoW,80049082.91,1000000000
SBTC,Super Bitcoin,SHA-256,TRUE,PoW,,21210000
SERO,Super Zero,Ethash,TRUE,PoW,,1000000000
AUX,Auxilium,Keccak,FALSE,PoA,,300000000
SUPER,SuperCoin,X11,TRUE,PoS,50707661.75,0
M1,SupplyShock,X13,TRUE,PoW/PoS,,0
SPM,Supreme,Scrypt,TRUE,PoW/PoS,,88900000
TZC,TrezarCoin,NeoScrypt,TRUE,PoW/PoS,182638400,400000000
BRAZ,Brazio,HMQ1725,FALSE,PoW,75579791.71,207000000
U,Ucoin,X11,TRUE,PoS,2689812,20000000
UBTC,UnitedBitcoin,SHA-256,TRUE,PoW,20166000,20166000
UFO,UFO Coin,NeoScrypt,TRUE,PoW,3824685012,4000000000
UMO,Universal Molecule,Blake,TRUE,PoW,1578281.313,105120001.4
TAG,TagCoin,Scrypt,TRUE,PoW/PoS,,1000000
UNB,UnbreakableCoin,SHA-256,TRUE,PoW,2278150,80000000
TAK,TakCoin,SHA-256,TRUE,PoW/PoS,,7515187520
TAM,TamaGucci,Scrypt,TRUE,PoW/PoS/PoC,,5300000
TAP,TappingCoin,X11,TRUE,PoW/PoS,,5000000000
TSE,TattooCoin,Scrypt,TRUE,PoW/PoS,,500000000
TCHB,Teachers Blockchain,Scrypt,TRUE,PoW,,160000000
UNIFY,Unify,Scrypt,TRUE,PoW,18133195,19276800
TECH,TechCoin,X13,TRUE,PoW/PoS,,300000
THS,TechShares,DPoS,TRUE,DPoS,,600000000
TEC,TeCoin,Multiple,TRUE,PoW,,469521976
TEK,TekCoin,SHA-256,TRUE,PoW/PoS,,100000000
TELL,Tellurion,X11,TRUE,PoW/PoS,,3652422000
AET,AfterEther,Ethash,FALSE,PoW,,200000000
UNITS,GameUnits,Scrypt,TRUE,PoW/PoS,3472983,13000000
UNO,Unobtanium,SHA-256,TRUE,PoW,200911.7915,250000
URALS,Urals Coin,XEVAN,TRUE,PoW,14746153.1,210000000
XVE,The Vegan Initiative,PoS,TRUE,PoS,,50000000
CHIEF,TheChiefCoin,Scrypt,TRUE,PoW/PoS,,2500000000
TGCC,TheGCCcoin,X13,TRUE,PoW/PoS,,2400000000
USC,Ultimate Secure Cash,SHA-256,TRUE,PoS,10343113,200084200
USDE,UnitaryStatus Dollar,Scrypt,TRUE,PoW/PoS,1098952593,1600000000
TAGR,Think And Get Rich Coin,X15,TRUE,PoW/PoS,,30700000
USX,Unified Society USDEX,Scrypt,TRUE,PoW/PoS,234846265.8,232000000
UTC,UltraCoin,Scrypt,TRUE,PoW/PoS,50235211.14,100000000
VET,Vechain,VeChainThor Authority,TRUE,Proof of Authority,55454734800,86712634466
TIP,Tip Blockchain,DPoS,TRUE,PoS,,1000000000
VIA,ViaCoin,Scrypt,TRUE,PoW,23150892.17,23000000
TITC,TitCoin,Scrypt,TRUE,PoW,,1000000
VIG,TheVig,SHA-256D,TRUE,PoW/PoS,33238183.72,100000000
TODAY,TodayCoin,Scrypt,TRUE,PoW,,39200000
VIP,VIP Tokens,NIST5,TRUE,PoW/PoS,83450403,90000000
VITAE,Vitae,Quark,TRUE,PoS,66053877.63,100000000
VIVO,VIVO Coin,NeoScrypt,TRUE,PoW,4165967.575,27000000
TOT,TotCoin,Scrypt,TRUE,PoW/PoS,,1613150000
VLTC,VaultCoin,X11,TRUE,PoW,30385540,1000000000
TBCX,TrashBurn,SHA-256D,TRUE,PoS,,9000000
VLX,Velox,Scrypt,TRUE,PoS,25570013.13,124000000
ZSE,ZSEcoin,X11,TRUE,PoW/PoS,0,2093500000
VOLLAR,Vollar,Equihash+Scrypt,TRUE,PoW,100000000,2100000000
VTC,Vertcoin,Lyra2REv2,TRUE,PoW,51173723.82,84000000
VTR,Vtorrent,Scrypt,TRUE,PoW/PoS,11604722,20000000
VUC,Virta Unique Coin,NIST5,TRUE,PoW/PoS,62942075,120000000
TRK,TruckCoin,X11,TRUE,PoW/PoS,242574105.2,0
ZEX,Zaddex,Equihash,FALSE,PoW,,210000000
TIC,TrueInvestmentCoin,Scrypt,TRUE,PoW/PoS,,53200000
TLP,TulipCoin,Scrypt,TRUE,PoW/PoS,,5250000000
ZILLA,ChainZilla,Equihash,FALSE,DPoW,11000068.27,11000000
WAGE,Digiwage,Quark,TRUE,PoS,27299680,120000000
TWLV,Twelve Coin,T-Inside,TRUE,PoW/PoS,,0
TWIST,TwisterCoin,X11,TRUE,PoW/PoS,,3195000
UBIQ,Ubiqoin,Progressive-n,TRUE,PoS,,500000000
WAVES,Waves,Leased POS,TRUE,LPoS,100000000,100000000
WBB,Wild Beast Coin,Scrypt,TRUE,PoW,181919.2436,2628000
WDC,WorldCoin,Scrypt,TRUE,PoW,119606941,265420800
WEBC,Webchain,CryptoNight-V7,TRUE,PoW,15580199.31,1750000000
WOMEN,WomenCoin,Scrypt,TRUE,PoW/PoS,48459472454,25000000000
CVTC,CavatCoin,DPoS,FALSE,DPoS,,21000000
XBC,BitcoinPlus,Scrypt,TRUE,PoS,128326.9963,1000000
UNF,Unfed Coin,Scrypt,TRUE,PoW,,67000000
XBI,Bitcoin Incognito,XEVAN,TRUE,PoS/PoW,10904963.09,21000000
XC,X11 Coin,X11,TRUE,PoW/PoS,6950831.097,5500000
XCG,Xchange,X16R,TRUE,PoW,9753753.615,100000000
XCI,Cannabis Industry Coin,CryptoNight,TRUE,PoW,978145,21000000
UIS,Unitus,Multiple,TRUE,PoW,65113302,0
XCN,Cryptonite,M7 POW,TRUE,PoW,708506520,1840000000
XCRE,Creatio,PoS,TRUE,PoS,20000000,20000000
UOS,UOS,SHA-256,TRUE,DPoI,,1000000000
UPX,uPlexa,CryptoNight,TRUE,PoW,,10500000000
XCXT,CoinonatX,Scrypt,TRUE,PoW/PoS,19539588,48252000
URO,UroCoin,X11,TRUE,PoW,1207310,0
UTH,Uther,Dagger,TRUE,PoW,,25885320
VPRC,VapersCoin,Scrypt,TRUE,PoW,,42750000000
VAPOR,Vaporcoin,SHA-256,TRUE,PoW/PoS,,2000000
XDN,DigitalNote ,CryptoNight,TRUE,PoW,6906587610,10000000000
XDNA,XDNA,Keccak,TRUE,PoW/PoS,4672513.844,366000000
XEN,XenixCoin,X11,TRUE,PoW/PoS,3853326.777,3853326.777
XGR,GoldReserve,X11,TRUE,PoW/PoS,17171382,40000000
VBK,VeriBlock,SHA-256,TRUE,PoW,,2100000000
VRC,VeriCoin,Scrypt,TRUE,PoST,32021108.41,0
XHI,HiCoin,Scrypt,TRUE,PoS,10000244678,10008835635
ARMS,2Acoin,CryptoNight-V7,FALSE,PoW,,17910000
VTL,Vertical,Lyra2Z,TRUE,PoW,,35000000
XIN,Infinity Economics,SHA-256,TRUE,PoS,8999999990,9000000000
VDO,VidioCoin,X11,TRUE,PoW/PoS,,0
XIOS,Xios,Scrypt,TRUE,PoW/PoS,2149688,21000000
XJO,JouleCoin,SHA-256,TRUE,PoW,39195739.36,45000000
XLC,LeviarCoin,CryptoNight,TRUE,PoW,14161803,54000000
ITA,Italocoin,CryptoNight Heavy,FALSE,PoW,,18446744
VMC,VirtualMining Coin,Scrypt-n,TRUE,PoW,,1000000
XMC,Monero Classic,CryptoNight,TRUE,PoW,16016864,18400000
XMCC,Monoeci,X11,TRUE,PoW/PoS,12569262.54,9507271
XMN,Motion,X16R,TRUE,PoW,8125865.021,22075700
VOT,Votecoin,Equihash,TRUE,PoW,,220000000
XMY,MyriadCoin,Multiple,TRUE,PoW,1688254250,2000000000
VULC,Vulcano,NIST5,TRUE,PoS/PoW,,421126225
WASH,WashingtonCoin,X11,TRUE,PoW/PoS,,170000000
INF8,Infinium-8,CryptoNight,FALSE,PoW,,0
XNG,Enigma,X11,TRUE,PoW/PoS,814671,5000000
XPO,Opair,PoS,TRUE,PoS,74033806.79,74000000
XPY,PayCoin,SHA-256,TRUE,PoS,11995334.88,12500000
XRA,Ratecoin,X11,TRUE,PoW/PoS,134554941.2,75000000
WINE,WineCoin,Scrypt,TRUE,PoW/PoS,,1744000000
WINK,Wink,PoS,TRUE,PoS,,80000000
WMC,WMCoin,X11,TRUE,PoS,,1000000000
XRC,Bitcoin Rhodium,X13,TRUE,PoW,1170292.5,2100000
LOG,Wood Coin,Skein,TRUE,PoW,,27625814
WCG,World Crypto Gold,SHA-256,TRUE,Proof of Stake,,900000000
XTL,Stellite,CryptoNight,FALSE,PoW,,21000000000
XWT,World Trade Funds,X15,TRUE,PoW/PoS,,1000000
XSH,SHIELD,Multiple,TRUE,PoW,481730566.6,660000000
WOP,WorldPay,X11,TRUE,PoW/PoS,,10000000
WRT,WRTcoin,X11,TRUE,PoW,,25000000000
XSN,Stakenet,X11,TRUE,TPoS,75590369,76500000
XNX,XanaxCoin,Scrypt,TRUE,PoW,,42000000
XAU,XauCoin,SHA-256,TRUE,PoW,,2100000
ZUR,Zurcoin,Quark,TRUE,PoW,0,126000000
BITN,Bitcoin Nova,CryptoNight,FALSE,PoW,484454200,1000000000
CHI,XAYA,NeoScrypt,TRUE,PoW,,77303932
XT3,Xt3ch,Scrypt,TRUE,PoS,7630000.015,44000000
